description,id_iaps,valence_mean,valence_standard_deviation,arousal_mean,arousal_standard_deviation,dominance_1_mean,dominance_1_standard_deviation,dominance_2_mean,dominance_2_standard_deviation,set_id
Garbage,9373,3.3799999999999999,1.48,5.0099999999999998,2.1600000000000001,4.8600000000000003,2.2200000000000002,4.7300000000000004,1.8400000000000001,7
EmptyPool,9360,4.0300000000000002,1.3799999999999999,2.6299999999999999,1.75,5.3399999999999999,2.0800000000000001,,,10
Pollution,9342,2.8500000000000001,1.4099999999999999,4.4900000000000002,1.8799999999999999,,,4.2199999999999998,2.1600000000000001,14
Pollution,9341,3.3799999999999999,1.8899999999999999,4.5,2.1000000000000001,,,4.3899999999999997,2.0600000000000001,13
Garbage,9340,2.4100000000000001,1.48,5.1600000000000001,2.3500000000000001,4.2400000000000002,2.1699999999999999,,,6
CryingWoman,9332,2.25,1.3300000000000001,5.3399999999999999,2,3.6299999999999999,1.79,,,20
HomelessMan,9331,2.8700000000000001,1.28,3.8500000000000001,2,4.7199999999999998,2.1499999999999999,,,10
Garbage,9330,2.8900000000000001,1.74,4.3499999999999996,2.0699999999999998,4.3300000000000001,1.9299999999999999,,,5
Vomit,9326,2.21,1.3,5.8899999999999997,2.3500000000000001,4.0499999999999998,1.9099999999999999,,,18
Vomit,9325,1.8899999999999999,1.23,6.0099999999999998,2.54,3.2200000000000002,1.96,,,17
Vomit,9322,2.2400000000000002,1.24,5.7300000000000004,2.2799999999999998,3.8700000000000001,2.23,,,20
Vomit,9321,2.8100000000000001,2.1400000000000001,6.2400000000000002,2.23,3.8999999999999999,2.3500000000000001,,,19
Vomit,9320,2.6499999999999999,1.9199999999999999,4.9299999999999997,2.7000000000000002,4.4400000000000004,2.0899999999999999,,,5
Toilet,9302,2.3199999999999998,1.4099999999999999,5.5800000000000001,2.4300000000000002,3.8999999999999999,2.0800000000000001,,,18
Toilet,9301,2.2599999999999998,1.5600000000000001,5.2800000000000002,2.46,,,4.1100000000000003,2.3199999999999998,14
Dirty,9300,2.2599999999999998,1.76,6,2.4100000000000001,4.1200000000000001,2.5699999999999998,,,4
Garbage,9295,2.3900000000000001,1.3,5.1100000000000003,2.0499999999999998,3.7400000000000002,2.0800000000000001,,,17
Garbage,9291,2.9300000000000002,1.1899999999999999,4.3799999999999999,2.0499999999999998,4.75,1.75,,,18
Garbage,9290,2.8799999999999999,1.52,4.4000000000000004,2.1099999999999999,4.9000000000000004,2.1800000000000002,,,4
Smoke,9280,2.7999999999999998,1.54,4.2599999999999998,2.4399999999999999,4.0999999999999996,2.54,,,9
ToxicWaste,9270,3.7200000000000002,1.51,5.2400000000000002,2.1499999999999999,4.04,2.0499999999999998,,,3
HungMan,9265,2.6000000000000001,1.52,4.3399999999999999,2.0899999999999999,4.5999999999999996,2.3700000000000001,,,9
Hands,9260,4.6299999999999999,1.76,3.4500000000000002,1.98,4.9800000000000004,2.2400000000000002,,,19
Assault,9254,2.0299999999999998,1.3500000000000001,6.04,2.3500000000000001,,,3.0800000000000001,1.95,15
Mutilation,9253,2,1.1899999999999999,5.5300000000000002,2.3999999999999999,3.77,2.1699999999999999,,,9
DeadBody,9252,1.98,1.5900000000000001,6.6399999999999997,2.3300000000000001,2.9199999999999999,2.2799999999999998,2.77,1.8200000000000001,7
WarVictim,9250,2.5699999999999998,1.3899999999999999,6.5999999999999996,1.8700000000000001,3.73,1.9399999999999999,,,3
OilFire,9230,3.8900000000000001,1.5800000000000001,5.7699999999999996,2.3599999999999999,3.73,1.8799999999999999,,,5
Cemetery,9220,2.0600000000000001,1.54,4,2.0899999999999999,3.1299999999999999,1.97,,,6
Rain,9210,4.5300000000000002,1.8200000000000001,3.0800000000000001,2.1299999999999999,4.5499999999999998,1.8999999999999999,,,5
Woman,9190,3.8999999999999999,1.4399999999999999,3.9100000000000001,1.73,4.8899999999999997,1.8100000000000001,,,2
InjuredDog,9187,1.8100000000000001,1.3600000000000001,6.4500000000000002,2.2999999999999998,3.1699999999999999,2.1099999999999999,,,20
Vultures,9186,3.4300000000000002,1.54,4.8799999999999999,1.8700000000000001,4.2300000000000004,1.8300000000000001,,,17
DeadDog,9185,1.97,1.1599999999999999,5.6500000000000004,2.3500000000000001,3.6200000000000001,2.3100000000000001,,,19
InjuredDog,9184,2.4700000000000002,1.52,5.75,2.4300000000000002,3.8599999999999999,2.3199999999999998,,,18
HurtDog,9183,1.6899999999999999,1.1000000000000001,6.5800000000000001,2.1200000000000001,2.96,1.8500000000000001,,,17
Horses,9182,3.52,2.04,4.9800000000000004,2.0699999999999998,4.9699999999999998,2.3199999999999998,4.4500000000000002,1.8,7
DeadCows,9181,2.2599999999999998,1.8500000000000001,5.3899999999999997,2.4100000000000001,4.04,2.27,,,8
Seal,9180,2.9900000000000002,1.6100000000000001,5.0199999999999996,2.0899999999999999,4.5199999999999996,2.0899999999999999,,,2
Fisher,9171,4.0099999999999998,1.9399999999999999,4.7199999999999998,2.1699999999999999,,,5.1699999999999999,2.23,13
Soldiers,9163,2.1000000000000001,1.3600000000000001,6.5300000000000002,2.21,3.04,2.2400000000000002,,,19
Soldier,9160,3.23,1.6399999999999999,5.8700000000000001,1.9299999999999999,3.7999999999999998,2.0800000000000001,,,2
Plane,9156,6.4299999999999997,1.5900000000000001,5.79,2.2999999999999998,6.04,2.0499999999999998,,,11
Matador,9150,4.54,1.8200000000000001,5.3099999999999996,2.1200000000000001,4.4800000000000004,2.0600000000000001,,,18
Cow,9145,3.2000000000000002,1.3899999999999999,5.0499999999999998,2.2599999999999998,4.7300000000000004,2.1200000000000001,,,18
Cow,9140,2.1899999999999999,1.3700000000000001,5.3799999999999999,2.1899999999999999,3.8500000000000001,1.95,,,2
OilFires,9120,3.2000000000000002,1.75,5.7699999999999996,1.9399999999999999,3.79,2.0099999999999998,,,6
Puddle,9110,3.7599999999999998,1.4099999999999999,3.98,2.23,4.8799999999999999,1.6799999999999999,,,2
Heroin,9102,3.3399999999999999,1.76,4.8399999999999999,2.5,4.6399999999999997,2.4199999999999999,,,9
Cocaine,9101,3.6200000000000001,1.96,4.0199999999999996,2.3300000000000001,5.3499999999999996,2.4700000000000002,,,9
Exhaust,9090,3.6899999999999999,1.9199999999999999,4.7999999999999998,2.23,4.7199999999999998,2.1400000000000001,,,3
Exhaust,9090,3.5600000000000001,1.5,3.9700000000000002,2.1200000000000001,4.5099999999999998,1.9099999999999999,,,2
Wires,9080,4.0700000000000003,1.45,4.3600000000000003,2.1699999999999999,4.0499999999999998,1.98,,,2
StarvingChild,9075,1.6599999999999999,1.1000000000000001,6.04,2.3999999999999999,2.8599999999999999,2.1099999999999999,,,18
Boy,9070,5.0099999999999998,1.8899999999999999,3.6299999999999999,2.0299999999999998,5.6699999999999999,1.98,,,2
PlaneCrash,9050,2.4300000000000002,1.6100000000000001,6.3600000000000003,1.97,3.27,2.0600000000000001,,,2
Family,9046,3.3199999999999998,1.49,4.3099999999999996,1.99,4.6100000000000003,2.0499999999999998,,,12
NativeFem,9045,3.75,1.6699999999999999,3.8900000000000001,2.1600000000000001,5.0300000000000002,2.1800000000000002,,,9
Teeth,9043,2.52,1.4199999999999999,5.5,2.4100000000000001,4.29,2.0299999999999998,,,18
StickThruLip,9042,3.1499999999999999,1.8899999999999999,5.7800000000000002,2.48,4.3700000000000001,2.1600000000000001,,,10
ScaredChild,9041,2.98,1.5800000000000001,4.6399999999999997,2.2599999999999998,4.3799999999999999,2.3399999999999999,,,9
StarvingChild,9040,1.6699999999999999,1.0700000000000001,5.8200000000000003,2.1499999999999999,3.1000000000000001,2,,,2
Mud,9031,3.0099999999999998,1.5900000000000001,4.8200000000000003,1.9199999999999999,4.6799999999999997,1.9099999999999999,,,17
BarbedWire,9010,3.9399999999999999,1.7,4.1399999999999997,2.0499999999999998,4.0599999999999996,1.96,,,2
Needle,9008,3.4700000000000002,1.8500000000000001,4.4500000000000002,2.1000000000000001,5.2999999999999998,2.21,4.75,1.8600000000000001,7
Needles,9007,2.4900000000000002,1.4099999999999999,5.0300000000000002,2.3199999999999998,4.1799999999999997,2.27,,,8
HIVTattoo,9006,2.3399999999999999,1.5900000000000001,5.7599999999999998,2.46,3.3300000000000001,2.4199999999999999,3.0800000000000001,2.2200000000000002,7
HIVTattoo,9005,3.6899999999999999,2.23,5.1799999999999997,2.1099999999999999,4.2999999999999998,2.3100000000000001,,,8
Memorial,9002,3.3900000000000001,1.8400000000000001,4.5499999999999998,1.9399999999999999,4.0300000000000002,1.8200000000000001,,,17
Cemetery,9001,3.1000000000000001,2.02,3.6699999999999999,2.2999999999999998,3.4700000000000002,1.8999999999999999,,,5
Cemetery,9000,2.5499999999999998,1.55,4.0599999999999996,2.25,3.25,2.1299999999999999,,,2
Woman,8620,6.04,1.4299999999999999,4.5999999999999996,2.0800000000000001,,,5.8300000000000001,1.8400000000000001,14
Mascot,8600,6.3799999999999999,1.6100000000000001,4.2599999999999998,2.2400000000000002,5.54,1.9299999999999999,,,6
Athletes,8540,7.4800000000000004,1.51,5.1600000000000001,2.3700000000000001,5.8799999999999999,1.9099999999999999,,,5
SportCar,8531,7.0300000000000002,1.5,5.4100000000000001,2.1499999999999999,6.7699999999999996,1.6899999999999999,,,8
SportCar,8510,7.3200000000000003,1.72,4.9299999999999997,2.5600000000000001,6.54,2.2599999999999998,,,4
Money,8503,7.0199999999999996,1.71,5.2199999999999998,2.5899999999999999,6.3300000000000001,2.2000000000000002,,,10
Money,8502,7.5099999999999998,1.72,5.7800000000000002,2.4900000000000002,6.4000000000000004,2.54,,,9
Money,8501,7.9100000000000001,1.6599999999999999,6.4400000000000004,2.29,6.0499999999999998,2.52,,,6
Gold,8500,6.96,1.6399999999999999,5.5999999999999996,2.3999999999999999,5.8700000000000001,2.1400000000000001,,,3
Rollercoaster,8499,7.6299999999999999,1.4099999999999999,6.0700000000000003,2.3100000000000001,,,5.5099999999999998,2.1000000000000001,16
CarnivalRide,8497,7.2599999999999998,1.4399999999999999,4.1900000000000004,2.1800000000000002,6.2199999999999998,1.8700000000000001,,,10
WaterSlide,8496,7.5800000000000001,1.6299999999999999,5.79,2.2599999999999998,6.3300000000000001,2.1800000000000002,,,9
Rollercoaster,8492,7.21,2.2599999999999998,7.3099999999999996,1.6399999999999999,4.6299999999999999,2.4100000000000001,,,17
RollerCoaster,8490,7.2000000000000002,2.3500000000000001,6.6799999999999997,1.97,5.3700000000000001,2.46,,,4
Fire,8485,2.73,1.6200000000000001,6.46,2.1000000000000001,,,3.25,2.2000000000000002,14
BikerOnFire,8480,3.7000000000000002,2.0299999999999998,6.2800000000000002,2.1000000000000001,4,2.1899999999999999,,,4
Biking/train,8475,4.8499999999999996,1.8500000000000001,6.5199999999999996,1.9099999999999999,,,4.5499999999999998,2.1899999999999999,14
Gymnast,8470,7.7400000000000002,1.53,6.1399999999999997,2.1899999999999999,6.1699999999999999,2.0899999999999999,,,6
Runners,8467,6.3499999999999996,1.4399999999999999,5.1200000000000001,2.3599999999999999,,,5.79,2.0699999999999998,16
Nudists,8466,4.8600000000000003,1.77,4.9199999999999999,2.0899999999999999,,,5.1100000000000003,2.0600000000000001,15
Runner,8465,5.96,1.49,3.9300000000000002,2.3399999999999999,5.9699999999999998,1.6299999999999999,,,10
HappyTeens,8461,7.2199999999999998,1.53,4.6900000000000004,2.2000000000000002,6.3600000000000003,1.6699999999999999,,,10
Runner,8460,6.4000000000000004,1.5800000000000001,4.5499999999999998,2.5699999999999998,5.7599999999999998,1.7,,,5
Tubing,8420,7.7599999999999998,1.55,5.5599999999999996,2.3799999999999999,6.0499999999999998,2.1899999999999999,,,6
Rafters,8400,7.0899999999999999,1.52,6.6100000000000003,1.8600000000000001,4.6299999999999999,2.1400000000000001,,,6
Athletes,8380,7.5599999999999996,1.55,5.7400000000000002,2.3199999999999998,5.7999999999999998,2.02,,,6
Rafting,8371,6.8200000000000003,1.45,5.1200000000000001,2.2999999999999998,,,5.5899999999999999,1.8700000000000001,16
Rafting,8370,7.7699999999999996,1.29,6.7300000000000004,2.2400000000000002,5.3700000000000001,2.02,,,5
TennisPlayer,8350,7.1799999999999997,1.5600000000000001,5.1799999999999997,2.2799999999999998,5.7800000000000002,1.76,,,5
Wingwalker,8341,6.25,1.8600000000000001,6.4000000000000004,2.27,,,4.6600000000000001,2.3100000000000001,13
Plane,8340,6.8499999999999996,1.6899999999999999,5.7999999999999998,2.3599999999999999,5.7699999999999996,2.23,,,6
Winner,8330,6.6500000000000004,1.3899999999999999,4.0599999999999996,2.2799999999999998,5.5599999999999996,1.5900000000000001,,,5
RaceCars,8325,5.6299999999999999,1.5,4.4699999999999998,2.1899999999999999,5.5300000000000002,1.8200000000000001,,,18
CarRacer,8320,6.2400000000000002,1.78,4.2699999999999996,2.21,5.5099999999999998,1.79,,,6
Golf,8312,5.3700000000000001,1.4099999999999999,3.3199999999999998,2.0600000000000001,5.8799999999999999,1.7,,,19
Golfer,8311,5.8799999999999999,1.6699999999999999,3.5699999999999998,2.3500000000000001,5.7999999999999998,1.74,,,6
Pilot,8300,7.0199999999999996,1.6000000000000001,6.1399999999999997,2.21,5.3099999999999996,2.3100000000000001,,,5
Diver,8280,6.3799999999999999,1.46,5.0499999999999998,2.1800000000000002,5.8499999999999996,1.95,,,6
Motorcyclist,8260,6.1799999999999997,1.8,5.8499999999999996,2.1800000000000002,5.29,1.96,,,6
Motorcycle,8251,6.1600000000000001,1.6799999999999999,6.0499999999999998,2.1200000000000001,,,5.8700000000000001,2.2400000000000002,14
Motorcyclist,8250,6.1900000000000004,1.6200000000000001,5.04,2.4900000000000002,5.6299999999999999,2.0699999999999998,,,5
Rowing,8241,5.7599999999999998,1.3100000000000001,4.0599999999999996,1.96,,,6.1799999999999997,1.72,16
Boxer,8232,5.0700000000000003,1.8,5.0999999999999996,2.21,5.5700000000000003,2.0699999999999998,,,11
Boxer,8231,3.77,1.8300000000000001,5.2400000000000002,1.8400000000000001,4.6799999999999997,2.2000000000000002,,,12
Boxer,8230,2.9500000000000002,1.8799999999999999,5.9100000000000001,2.1499999999999999,4.0499999999999998,2.3599999999999999,,,4
Runners,8220,6.5,1.73,5.1900000000000004,2.1699999999999999,6.2800000000000002,2.2000000000000002,,,4
Sailboat,8211,5.7599999999999998,1.8899999999999999,5.3600000000000003,2.3500000000000001,,,5.1299999999999999,2.29,13
Boat,8210,7.5300000000000002,1.3100000000000001,5.9400000000000004,2.0699999999999998,5.8200000000000003,1.9399999999999999,,,5
Surfer,8208,6.79,1.48,5.1699999999999999,2.23,5.8499999999999996,1.78,,,19
Surfers,8206,6.4299999999999997,1.75,6.4100000000000001,2.1899999999999999,5.1900000000000004,2.04,,,19
Waterskiing,8205,6.6200000000000001,1.4199999999999999,4.1699999999999999,1.9299999999999999,,,5.8600000000000003,1.79,15
WaterSkier,8200,7.54,1.3700000000000001,6.3499999999999996,1.98,6.1699999999999999,1.6100000000000001,,,3
Skier,8193,6.7300000000000004,1.5800000000000001,6.04,2.1899999999999999,,,5.8200000000000003,2.0800000000000001,13
VolcanoSkier,8192,5.5199999999999996,1.53,6.0300000000000002,1.97,,,5.1699999999999999,2,14
IceClimber,8191,6.0700000000000003,1.73,6.1900000000000004,2.1699999999999999,,,4.8799999999999999,2.3100000000000001,14
Skier,8190,8.0999999999999996,1.3899999999999999,6.2800000000000002,2.5699999999999998,6.1399999999999997,2.7400000000000002,,,5
Skysurfer,8186,7.0099999999999998,1.5700000000000001,6.8399999999999999,2.0099999999999998,,,5.1500000000000004,2.3599999999999999,14
Skydivers,8185,7.5700000000000003,1.52,7.2699999999999996,2.0800000000000001,5.4699999999999998,2.4199999999999999,,,12
CliffDivers,8180,7.1200000000000001,1.8799999999999999,6.5899999999999999,2.1200000000000001,4.9699999999999998,2.52,,,4
Bungee,8179,6.4800000000000004,2.1800000000000002,6.9900000000000002,2.3500000000000001,,,4.7300000000000004,2.6800000000000002,13
Cliffdiver,8178,6.5,2,6.8200000000000003,2.3300000000000001,,,4.6799999999999997,2.6099999999999999,13
Sailboat,8170,7.6299999999999999,1.3400000000000001,6.1200000000000001,2.2999999999999998,5.7199999999999998,2.1499999999999999,,,6
